file_name,x1,x2,y1,y2,inference_mask,inference_acc,bbox_area
20210526_163653_1828_1.jpg,0,24,4,70,1,0.1353,1584
20210526_163653_1828_1.jpg,41,105,29,122,0,0.111,5952
20210526_182313_4442_3.jpg,6,47,12,56,0,0.9914,1804
20210526_182313_3152_3.jpg,4,45,10,49,0,0.9528,1599
20210614_154716_6284_1.jpg,1844,1910,14,122,0,0.1286,7128
20210618_151458_1329_3.jpg,1510,1727,16,157,0,0.8086,30597
20210618_151458_1329_3.jpg,60,325,7,134,0,0.2427,33655
20210618_151458_1329_3.jpg,1060,1383,61,193,0,0.2082,42636
20210618_151458_1329_3.jpg,1656,1868,36,186,0,0.1772,31800
20210526_182313_2583_3.jpg,13,30,2,30,0,0.4711,476
20210526_163653_3475_1.jpg,0,45,9,60,0,0.7703,2295
20210618_151458_7250_3.jpg,1551,1717,13,150,0,0.7196,22742
20210618_151458_7250_3.jpg,1673,1883,37,200,0,0.3426,34230
20210618_151458_7250_3.jpg,543,969,9,210,0,0.3277,85626
20210618_151458_7250_3.jpg,16,264,17,143,0,0.255,31248
20210618_151458_7250_3.jpg,1463,1658,23,145,0,0.25,23790
20210614_154716_5354_3.jpg,1,329,39,439,0,0.1958,131200
20210526_163653_1232_1.jpg,13,48,4,45,1,0.8569,1435
20210526_182313_2463_3.jpg,710,892,60,192,0,0.1026,24024
20210526_182313_1263_1.jpg,5,47,14,69,1,0.746,2310
20210526_182313_5405_1.jpg,734,1721,0,856,0,0.1929,844872
20210614_154716_2872_3.jpg,161,282,0,66,0,0.4036,7986
20210618_151458_7460_3.jpg,1598,1832,30,174,0,0.6616,33696
20210618_151458_7460_3.jpg,31,295,3,131,0,0.2644,33792
20210618_151458_7460_3.jpg,1700,1896,49,199,0,0.26,29400
20210618_151458_7460_3.jpg,1462,1669,32,151,0,0.1585,24633
20210618_151458_7460_3.jpg,519,1029,4,153,0,0.1024,75990
20210526_165204_9609_3.jpg,822,1226,39,270,0,0.4101,93324
20210526_165204_9609_3.jpg,647,1048,46,499,0,0.1078,181653
20210526_182313_5390_1.jpg,688,1771,0,805,0,0.1563,871815
20210618_151458_7832_3.jpg,1656,1880,42,202,0,0.7489,35840
20210618_151458_7832_3.jpg,1554,1723,17,153,0,0.6784,22984
20210618_151458_7832_3.jpg,33,285,5,135,0,0.262,32760
20210618_151458_7832_3.jpg,1491,1651,12,140,0,0.2096,20480
20210526_170716_1769_3.jpg,870,1192,36,228,1,0.4219,61824
20210614_154716_4403_1.jpg,0,20,7,42,0,0.2657,700
20210614_154716_4403_1.jpg,34,38,29,43,0,0.1325,56
20210526_182313_4562_3.jpg,636,832,127,360,0,0.1078,45668
20210614_154716_6359_1.jpg,1,19,10,41,0,0.1385,558
20210526_182313_1728_3.jpg,657,829,153,359,0,0.1536,35432
20210614_154716_12049_3.jpg,2,171,158,318,1,0.412,27040
20210618_151458_7370_3.jpg,1526,1720,18,149,0,0.7861,25414
20210618_151458_7370_3.jpg,32,291,3,130,0,0.221,32893
20210618_151458_7370_3.jpg,1688,1886,48,199,0,0.202,29898
20210618_151458_7370_3.jpg,468,747,2,141,0,0.1464,38781
20210614_154716_6147_3.jpg,0,296,62,437,0,0.1129,111000
20210526_182313_2373_3.jpg,623,819,107,350,0,0.348,47628
20210526_182313_1803_3.jpg,651,847,127,365,0,0.1668,46648
20210526_182313_1803_3.jpg,696,740,200,263,0,0.1071,2772
20210526_165204_1700_3.jpg,851,1207,34,280,0,0.1948,87576
20210614_154716_11711_1.jpg,1519,1885,133,438,1,0.1876,111630
20210526_182313_5525_1.jpg,647,1739,0,865,0,0.3435,944580
20210618_151458_11293_3.jpg,1543,1713,16,149,0,0.7165,22610
20210618_151458_11293_3.jpg,1701,1884,41,203,0,0.4603,29646
20210618_151458_11293_3.jpg,1610,1816,30,171,0,0.2465,29046
20210618_151458_11293_3.jpg,1051,1379,47,194,0,0.1631,48216
20210618_151458_11293_3.jpg,1570,1686,28,107,0,0.1127,9164
20210614_154716_3154_3.jpg,5,41,1,47,0,0.1656,1656
20210614_154716_3154_3.jpg,28,84,0,45,0,0.1462,2520
20210526_182313_13063_1.jpg,6,42,5,68,0,0.966,2268
